,Cost,Mfr Dt Fz,Product,Contract Cust Id,Contract Dt,Contract Expiration Dt,Nbv,Billing Status Fz,Top1Lessee,Top3Lessees,MfrAge,ExpYear
27835,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
18298,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
16449,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
26558,2267.0,3/16/2018,1,ONE,2018-02-01,2026-10-14,1904.174,ON,0,1,4.53,4.06
24450,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1880.706,ON,0,1,4.51,4.06
13908,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
25843,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1884.21,ON,0,1,4.51,4.06
20613,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.453,ON,0,1,4.47,4.06
12690,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
28610,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.488,ON,0,1,4.73,7.36
25049,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1900.264,ON,0,1,4.51,4.06
568,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.836,ON,0,1,4.77,7.36
9792,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
1913,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.799,ON,0,1,4.77,7.36
21473,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.459,ON,0,1,4.47,4.06
1904,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.797,ON,0,1,4.77,7.36
10523,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
22752,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.088,ON,0,1,4.51,4.06
17427,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
16013,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
11659,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
14293,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
28443,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
9335,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.96,ON,1,1,1.43,6.77
8671,3773.0,7/13/2018,1,COSMR,2019-01-01,2024-04-30,3126.979,ON,0,0,4.2,1.6
8365,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2967.91,ON,1,1,4.29,9.86
7050,3682.0,1/1/2018,1,TCLC,2018-02-01,2025-05-31,2917.311,ON,0,0,4.73,2.69
